Timestamp,Date,ping,download,upload
1591252561216.9458,2020-06-04 12:06:01,2414.942,1.14,1.18
1591252907811.5051,2020-06-04 12:11:47,1350.466,1.06,0.91
1591253161284.7969,2020-06-04 12:16:01,1367.57,3.04,0.61
1591253427977.406,2020-06-04 12:20:27,1484.058,0.74,0.78
1591253644012.257,2020-06-04 12:24:04,668.183,2.58,1.25
1591253869799.692,2020-06-04 12:27:49,868.007,3.38,1.02
1591254158364.573,2020-06-04 12:32:38,1494.688,1.6,1.28
1591254369242.1838,2020-06-04 12:36:09,849.242,1.85,1.08
1591254647679.2441,2020-06-04 12:40:47,1020.914,2.05,1.11
1591254872538.325,2020-06-04 12:44:32,925.736,0.46,1.03
1591255083165.3572,2020-06-04 12:48:03,765.104,1.91,1.03
1591255331317.39,2020-06-04 12:52:11,1098.27,1.5,1.03
1591255576785.1829,2020-06-04 12:56:16,1411.539,4.47,1.19
1591255813898.8398,2020-06-04 13:00:13,857.321,1.35,1.09
1591256027853.435,2020-06-04 13:03:47,1053.094,2.15,0.88
1591256256175.246,2020-06-04 13:07:36,1054.491,2.15,0.92
1591256487307.41,2020-06-04 13:11:27,1085.739,3.49,1.14
1591256718335.281,2020-06-04 13:15:18,885.07,3.41,1.02
1591256977602.631,2020-06-04 13:19:37,818.767,3.92,0.82
1591257233577.765,2020-06-04 13:23:53,639.886,2.13,1.37
1591257461988.17,2020-06-04 13:27:41,1024.129,3.21,0.76
1591257699495.2559,2020-06-04 13:31:39,1364.533,3.82,0.98
1591257930713.5789,2020-06-04 13:35:30,760.169,3.11,1.04
1591290733409.1,2020-06-04 22:42:13,1407.27,0.86,0.4
1591327582281.657,2020-06-05 08:56:22,373.684,0.24,0.0
1591327918241.638,2020-06-05 09:01:58,775.289,5.32,1.08
1591328067104.323,2020-06-05 09:04:27,100,0,0
1591328302645.936,2020-06-05 09:08:22,834.804,2.7,1.24
1591328500284.362,2020-06-05 09:11:40,536.864,1.95,1.09
1591328656699.189,2020-06-05 09:14:16,100,0,0
1591328908673.395,2020-06-05 09:18:28,100,0,0
1591329123225.224,2020-06-05 09:22:03,264.674,2.97,1.09
1591329352399.3198,2020-06-05 09:25:52,730.923,0.49,1.11
1591329566709.2249,2020-06-05 09:29:26,884.882,1.89,1.0
1591329796288.8948,2020-06-05 09:33:16,733.016,0.7,1.69
1591330007379.627,2020-06-05 09:36:47,668.064,0.54,1.23
1591330263834.777,2020-06-05 09:41:03,1087.574,1.77,1.14
1591330546216.1501,2020-06-05 09:45:46,1469.832,0.76,1.25
1591330758711.6648,2020-06-05 09:49:18,1019.659,1.64,1.12
1591331079989.0251,2020-06-05 09:54:39,2622.129,1.32,0.8
1591331317799.063,2020-06-05 09:58:37,533.021,0.89,1.11
1591331638872.467,2020-06-05 10:03:58,1378.736,1.4,0.95
1591331890387.148,2020-06-05 10:08:10,1922.792,0.34,1.12
1591332193423.275,2020-06-05 10:13:13,2194.944,1.07,0.36
1591332423255.351,2020-06-05 10:17:03,524.254,0.17,0.73
1591332570316.021,2020-06-05 10:19:30,100,0,0
1591332841149.103,2020-06-05 10:24:01,1230.379,0.02,0.43
1591333058060.843,2020-06-05 10:27:38,656.114,0.96,0.67
1591333263315.594,2020-06-05 10:31:03,598.167,4.06,1.19
1591333498477.793,2020-06-05 10:34:58,1392.826,2.82,1.33
1591333760438.05,2020-06-05 10:39:20,356.78,9.02,0.86
1591334007663.2969,2020-06-05 10:43:27,633.554,4.76,1.07
1591334245975.035,2020-06-05 10:47:25,1161.009,1.71,1.04
1591334483573.8188,2020-06-05 10:51:23,406.071,6.0,1.62
1591334748041.6738,2020-06-05 10:55:48,2307.855,0.64,1.28
1591334940555.783,2020-06-05 10:59:00,100,0,0
1591335163699.476,2020-06-05 11:02:43,100,0,0
1591335388691.9,2020-06-05 11:06:28,100,0,0
1591335616694.1619,2020-06-05 11:10:16,100,0,0
1591335790038.138,2020-06-05 11:13:10,100,0,0
1591335962013.641,2020-06-05 11:16:02,100,0,0
1591694783740.805,2020-06-09 14:56:23,33.137,19.16,3.41
1591694933106.725,2020-06-09 14:58:53,48.168,13.46,3.42
1591695083025.073,2020-06-09 15:01:23,37.611,21.84,3.28
